delta_mu_ev,temperature_k,mu_e_ev,du_dt_intra_w_cm3,p_th_model_w_cm3,q_s_cm1,tau_c_lo_energy_s,delta_mu_carrier_statistics_model
1.0656004389782303,605.0,0.6126240978949995,-572770910.7749686,572770910.7749686,706038.4975370258,1.1570020114036743e-07,fd
1.0656004389782303,610.0,0.6133183491541255,-594758939.8492064,594758939.8492064,717765.599146479,1.1331005540089315e-07,fd
1.0656004389782303,615.0,0.6140135169246457,-617218130.0910078,617218130.0910078,729510.5194797842,1.1100664882346534e-07,fd
1.0656004389782303,620.0,0.6147096012449258,-640149608.9049337,640149608.9049337,741272.0572711967,1.0878572103441333e-07,fd
1.0656004389782303,625.0,0.6154066024181739,-663554420.722525,663554420.722525,753049.0489224215,1.0664327177154245e-07,fd
1.0656004389782303,630.0,0.6161045193704479,-687433518.5871397,687433518.5871397,764840.3560893044,1.0457554369863813e-07,fd
1.0656004389782303,635.0,0.6168033520715094,-711787782.0580689,711787782.0580689,776644.8815985573,1.0257900246678602e-07,fd
1.0656004389782303,640.0,0.6175030993434955,-736618004.9092633,736618004.9092633,788461.55317832,1.0065032310075605e-07,fd
1.0656004389782303,645.0,0.6182037604888653,-761924908.1650212,761924908.1650212,800289.3340203947,9.878637372689187e-08,fd
1.0656004389782303,650.0,0.6189053338919775,-787709132.370087,787709132.370087,812127.2119236023,9.698420350832336e-08,fd
1.0656004389782303,655.0,0.6196078178300563,-813971245.0728319,813971245.0728319,823974.2041600138,9.52410294790424e-08,fd
1.0656004389782303,660.0,0.6203112113202667,-840711749.3195837,840711749.3195837,835829.3628715429,9.355422445696877e-08,fd
1.0656004389782303,665.0,0.6210155118381027,-867931068.3625089,867931068.3625089,847691.7575896541,9.192130856837204e-08,fd
1.0656004389782303,670.0,0.6217207175749235,-895629564.4618143,895629564.4618143,859560.490902444,9.033993758435802e-08,fd
1.0656004389782303,675.0,0.622426826291128,-923807532.0070808,923807532.0070808,871434.6892886213,8.880789499309519e-08,fd
1.0656004389782303,680.0,0.6231338355898195,-952465201.3147429,952465201.3147429,883313.5043494786,8.732308350251534e-08,fd
1.0656004389782303,685.0,0.6238417429067743,-981602740.2325944,981602740.2325944,895196.1119857881,8.588351740915173e-08,fd
